tip,source
Do stuff. Be proactive.,Technical Grimoire
"Scheme often. Dice may fail, but good plans don't roll.",Technical Grimoire
Ask questions. Take notes.,Technical Grimoire
Embrace failure. Roll with it.,Technical Grimoire
Fight dirty. Retreat. Survive.,Technical Grimoire
The answer is not always on your character sheet.,Technical Grimoire
The most important thing is to have fun. The second most important thing is to kick ass.,0
"You can jump a number of feet up to your Strength score if you move at least 10 feet before the jump. Otherwise, you can jump half that.",0
"You can vertically leap a number of feet equal to 3 + your Strength modifier if you move at least 10 feet before the jump. Otherwise, you can jump half that.",0
"Sneak Attack can trigger only if you have advantage on the attack roll, or if another enemy of the target is within 5 feet of it and isn't incapacitated.",0
Spellcasters that aren't proficient with their armor cannot cast spells.,0
Opportunity attacks trigger when a creature *leaves* your melee attack range.,0
Your carrying capacity is your Strength score multiplied by 15. You can push/drag/lift up to twice that at full movement; any more and your movement speed drops to 5 feet. These values are doubled for each size category above Medium and halved for each size category below.,0
Ritually cast spells take 10 extra minutes but no spell slots.,0
Spells that are pending to be cast via the Ready action require concentration as well.,0
Darkvision does not distinguish between colors.,0
"Half cover gives +2 to AC and Dexterity saving throws, and three-quarters cover gives +5.",0
"The DC for a Concentration (Constitution) save is 10 or the damage that triggered it, whichever is higher.",0
"Temporary hit points don't stack; you just take the higher one when receiving them.",0
"When you take the Attack action with a **light** melee weapon, you can use a bonus action to attack with a different light melee weapon in your other hand.",0
You can move in between actions on your turn; it doesn't have to be all at once.,0
"In place of the regular Attack action, you can always try to Grapple or Shove a creature.",JaydPerson
"You can always take the Dash, Disengage, or Dodge action if you don't know what to do.",JaydPerson
You have one free object interaction per turn.,0
"While Grappling someone, your speed is halved (but theirs is zero).",0
It costs half your movement speed to mount/dismount an adjacent creature on your turn.,0
"If your mount is moved while you're on it or you are knocked prone while atop a mount, you must succeed on a DC 10 Dexterity saving throw or fall off.",0
"If your mount is knocked prone, you must use your reaction to land on your feet; else you land prone as well.",0
"Generally speaking, mounts can only take the Dash, Disengage, and Dodge actions when you're riding them. The benefits of Disengage are conferred to you, but not Dodge.",0
"If your mount is controlled, they share your initiative. If they are independent, they maintain theirs.",0
"If your mount provokes an opportunity attack while you're on it, the attacker can target you or the mount.",0
"When you Ready an action, you need to also choose a trigger. If the trigger doesn't happen, you lose the action.",0
"You take 1d6 bludgeoning damage for every 10 feet you fall up to a maximum of 20d6.",0
"Donning light armor takes 1 minute, medium armor takes 5 minutes, and heavy armor takes 10 minutes.",0
"Doffing light armor takes 1 minute, medium armor takes 1 minute, and heavy armor takes 5 minutes.",0
"You can travel for 8 hours a day without risking exhaustion. For each hour afterwards, you must make Exhaustion (Constitution) saves.",0
"You can either travel at a fast pace (30 miles/day) while risking -5 to your passive Perception scores, normal pace (24 miles/day), or slow pace (18 miles/day) stealthily.",0
"You can attempt to move through a hostile creature's space using the Overrun or Tumble action.",0
"Climbing, swimming, and crawling all cost an extra foot of movement for each foot traveled unless you have a dedicated climb/swim/crawl? speed.",0
"If a flying creature is knocked prone or has its speed reduced to 0, it falls.",0
